M0_intercept,M1_purity,M2_+type,M3_+site,Mfull_+image,Image_only,signature,incremental_image_r2,n_x,r_image,r_purity,r_partial,n_y
0.0,0.13444774197111387,0.4523551326609604,0.5446152526611681,0.6034968384201158,0.43670814030745986,SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.06458855229229599,6851,0.6609186696303279,-0.3652633669237676,0.6168787933723163,6870
0.0,0.28076027430377326,0.5019977554639921,0.5733595687079074,0.6258840338454579,0.47173079824756103,SIG_HALLMARK_ALLOGRAFT_REJECTION,0.05761168651025561,6851,0.6868152688138968,-0.5295395577600073,0.5825793435707969,6870
0.0,0.10691057965315875,0.41314903948895265,0.5105186265198032,0.5608859407784765,0.38299633974910463,SIG_HALLMARK_ANGIOGENESIS,0.055231457283899554,6851,0.6191508354116606,-0.325392806927425,0.5767919854609348,6870
0.0,0.14041988267722127,0.31818442893522136,0.39884993984280204,0.4471696294650307,0.3152293110638309,SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.05296292223837484,6851,0.5607469955958145,-0.3751244991743125,0.47668115382561843,6870
0.0,0.20783525416839588,0.4167950222497012,0.4933072498782406,0.5403606194045256,0.397653119214622,SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.051588773080985306,6851,0.629929194301748,-0.4561707124252792,0.5309384997354756,6870
0.0,0.0024730344260119885,0.5100366132129319,0.5908968320184833,0.6280363049422453,0.4983784731905696,SIG_HALLMARK_E2F_TARGETS,0.040717676754145726,6851,0.7064214155934002,-0.04839816876777571,0.7069013004457623,6870
0.0,0.24474493756099203,0.46786639674037545,0.5503615385702436,0.5844079111000158,0.4155744247203228,SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.0373134359582874,6851,0.64418924941215,-0.494437820189089,0.5360924283552787,6870
0.0,0.007869240266459965,0.4927122987139021,0.5784629662919647,0.6117805605763387,0.485261621772902,SIG_HALLMARK_G2M_CHECKPOINT,0.0365179777944199,6851,0.6969533144494903,-0.08740364099981689,0.6945639218808335,6870
0.0,0.25373821774784855,0.498416877226721,0.5844321790081084,0.6159472141837322,0.4393496605511821,SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.03453930614899681,6851,0.6624436828525153,-0.5033453137483299,0.5613279024260605,6870
0.0,0.10933162219193482,0.43731994259207907,0.5229934300290988,0.5541031189135245,0.33984161262492385,SIG_HALLMARK_COAGULATION,0.03408330350364097,6851,0.5825850955173876,-0.32936684199687577,0.5377531372453561,6870
0.0,0.03419477459250653,0.3269247626866352,0.4341160451621472,0.4646176896132913,0.2979443883567561,SIG_HALLMARK_TGF_BETA_SIGNALING,0.03339984970084586,6851,0.5455970745441086,-0.18408296531714388,0.5273132161839892,6870
0.0,0.16532047578967435,0.39281745888665187,0.4848553883520281,0.5147397678225116,0.3501610888660792,SIG_HALLMARK_IL2_STAT5_SIGNALING,0.032730850531344724,6851,0.5916033952855466,-0.40599364049806047,0.509469164030239,6870
0.0,0.1736346975425488,0.44049840389742945,0.5267358986885858,0.5562479770904002,0.3904279294132179,SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.03232933169512153,6851,0.6242273610062385,-0.4163958989309739,0.5450077128209961,6870
0.0,0.06788992454712428,0.3610082070470484,0.4587904619763232,0.48713452706629334,0.32341237599244843,SIG_HALLMARK_HYPOXIA,0.031034558143933744,6851,0.56854714198176,-0.2597444290379992,0.5335064107409989,6870
0.0,0.17332090226685792,0.35895040341996154,0.46239409250226793,0.4905769019649865,0.30651115653999783,SIG_HALLMARK_COMPLEMENT,0.030858088066999745,6851,0.5534919357967886,-0.41586864357544784,0.45609541043118457,6870
0.0,5.9809586874792764e-05,0.3596790418767445,0.45015196502856947,0.47772975405474394,0.33829349266255604,SIG_HALLMARK_MYC_TARGETS_V1,0.030191448148296995,6851,0.5823581284452486,-0.006442824763029208,0.5854283761932721,6870
