k,n_sets,median_gap,mean_gap
10,16,0.45263990530686704,0.4112815366144797
20,16,0.29027981967320476,0.29762981719051906
40,15,0.21376441998317808,0.22828449281375335
80,14,0.1406361902081571,0.13821038582355868
160,11,0.0839951050247244,0.07830536567724058
