signature,adjustment,mde_80pct_z,mde_80pct_c_index,observed,null_mean,null_sd,n_null,excess_z,excess_lo,excess_hi,beats_null,metric,stratified,endpoint,n_events,p_two_sided,q_bh,beats_null_bh
SIG_HALLMARK_ALLOGRAFT_REJECTION,axis_residualised,0.0333750950551694,0.0166813542175115,0.5055931288091136,0.5296368559330024,0.009647011527822,1000,-0.0481787031779994,-0.0715276214496317,-0.0248297849063671,False,c_index,True,PFI,2442,5.2494144416168344e-05,0.000186645846813043,False
SIG_HALLMARK_ALLOGRAFT_REJECTION,raw,0.0333369435736761,0.0166622996851615,0.507288211141684,0.516499869279365,0.003562007419651,1000,-0.0184359509785768,-0.0417581788146656,0.0048862768575119,False,c_index,True,PFI,2442,0.12130269298018247,0.21564923196476882,False
SIG_HALLMARK_ANGIOGENESIS,axis_residualised,0.0334064120326555,0.0166969952609084,0.5489195189480632,0.5234464774003309,0.0126264584027364,1000,0.0511942637909787,0.0278234364417354,0.074565091140222,True,c_index,True,PFI,2442,1.7600498166788888e-05,9.38693235562074e-05,True
SIG_HALLMARK_ANGIOGENESIS,raw,0.033355883774245,0.0166717592626539,0.5421713340362246,0.517062698759654,0.0072660779733779,1000,0.050397442013784,0.0270619637826207,0.0737329202449474,True,c_index,True,PFI,2442,2.3067839135384992e-05,0.00010545297890461711,True
SIG_HALLMARK_COAGULATION,axis_residualised,0.0333788764976733,0.0166832428340195,0.5344802461833861,0.5326457792235623,0.0100450146546584,1000,0.0036591590680666,-0.0196924046669517,0.0270107228030849,False,c_index,True,PFI,2442,0.7587491754915872,0.8372404695079583,False
SIG_HALLMARK_COAGULATION,raw,0.0333403029925644,0.0166639775290519,0.5304000480023315,0.5190025522668243,0.00444874341089,1000,0.0228487425469847,-0.0004758355085396,0.0461733206025091,False,c_index,True,PFI,2442,0.05486048470021822,0.12539539360049878,False
SIG_HALLMARK_COMPLEMENT,axis_residualised,0.0333662505215267,0.0166769368716807,0.5267055828425952,0.533934808976436,0.0086180145582216,1000,-0.0145322121315537,-0.0378749428464815,0.008810518583374,False,c_index,True,PFI,2442,0.22239211318332563,0.32347943735756457,False
SIG_HALLMARK_COMPLEMENT,raw,0.0333367087129307,0.0166621823851978,0.5229211133112179,0.5180474944497304,0.003490677831567,1000,0.0097619327950784,-0.0135601307345315,0.0330839963246884,False,c_index,True,PFI,2442,0.41199750419045267,0.5070738513113263,False
SIG_HALLMARK_E2F_TARGETS,axis_residualised,0.0333551010145298,0.0166713683179185,0.5666525231225517,0.5361912207164349,0.0071238868639219,1000,0.0615792756273425,0.0382443450078814,0.0849142062468037,True,c_index,True,PFI,2442,2.313413248250317e-07,2.4676407981336714e-06,True
SIG_HALLMARK_E2F_TARGETS,raw,0.0333356312091965,0.0166616442316024,0.546176528574245,0.5196697846752556,0.0031462593925919,1000,0.053255532684714,0.0299342229670883,0.0765768424023397,True,c_index,True,PFI,2442,7.616533779382464e-06,6.093227023505971e-05,True
