signature,observed,n_null,excess_z,excess_lo,excess_hi,beats_null,null_mean,null_sd,null_degenerate,percentile_SECONDARY_biased_on_tight_null
SIG_HALLMARK_E2F_TARGETS,0.707922737933858,1000,0.38738942319334063,0.32530153914613347,0.4494773072405478,True,0.45848636258673797,0.017513870814152527,1.0,100.0
SIG_HALLMARK_G2M_CHECKPOINT,0.6989785454716863,1000,0.35866342884693525,0.2965736281463747,0.4207532295474958,True,0.46711919852282413,0.01840870531226341,1.0,100.0
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.6676430852411448,1000,0.29749779590954395,0.23540763283159716,0.35958795898749074,True,0.4689445419550707,0.01857418106029686,1.0,100.0
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.6913682527222358,1000,0.29524388445426997,0.2331506741279684,0.3573370947805715,True,0.5042541029958559,0.019255719850952476,1.0,100.0
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.6375650535145365,1000,0.2429466074525335,0.18085679623422557,0.3050364186708414,True,0.4706101224507232,0.018338571386082313,1.0,100.0
SIG_HALLMARK_MYC_TARGETS_V1,0.5845722019859442,1000,0.2369601414927759,0.17486850700169201,0.2990517759838598,True,0.4071340829029688,0.020617516384400732,0.0,100.0
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.6692764367828703,1000,0.23637440492153983,0.1742832058278736,0.29846560401520605,True,0.5173743273151502,0.01789748970580724,1.0,100.0
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.6319948521767518,1000,0.23301113075218216,0.17092075900381776,0.29510150250054656,True,0.47107466147515487,0.01859364830213171,1.0,100.0
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.6512153583120632,1000,0.2261740927448287,0.16406130215186823,0.2882868833377892,True,0.5009576633718967,0.02696896789642032,0.0,100.0
SIG_HALLMARK_ANGIOGENESIS,0.6278314623892909,1000,0.2041088361510971,0.14194528246649374,0.26627238983570045,True,0.487132247300981,0.04134194072545312,0.0,100.0
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.5975678412898142,1000,0.15929168514965708,0.09720135984732182,0.22138201045199235,True,0.4852186847277253,0.01825118923221845,1.0,100.0
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.5690521977361902,1000,0.15462518205659037,0.09251902514408591,0.21673133896909483,True,0.45501278334582973,0.026103821536842348,0.0,100.0
SIG_HALLMARK_HYPOXIA,0.5766997790449979,1000,0.14909090671424985,0.08700026105580513,0.21118155237269456,True,0.4684954929670626,0.018769036158694765,1.0,100.0
SIG_HALLMARK_COAGULATION,0.5885558074236377,1000,0.13264215263813484,0.07054187021464225,0.19474243506162742,True,0.49478049333324614,0.02254867074000769,0.0,100.0
SIG_HALLMARK_TGF_BETA_SIGNALING,0.5518115196262916,1000,0.13146357436790712,0.06933197553711085,0.1935951731987034,True,0.4531508002026675,0.03469123345187339,0.0,99.9
SIG_HALLMARK_COMPLEMENT,0.561833548654407,1000,0.0998047652028764,0.037713979277324526,0.16189555112842827,True,0.48951137562466485,0.018365955331221224,1.0,100.0
