anc,ACC,BLCA,CESC,CHOL,COAD,DLBC,ESCA,GBM,HNSC,KICH,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,READ,SARC,SKCM,STAD,TGCT,THCA,THYM,UCEC,UCS,UVM
AFR,0.003372681281618887,0.02866779089376054,0.045531197301854974,0.003372681281618887,0.08600337268128162,0.0016863406408094434,0.008431703204047217,0.008431703204047217,0.07251264755480608,0.006745362563237774,0.07588532883642496,0.09612141652613827,0.03372681281618887,0.021922428330522766,0.08094435075885328,0.048903878583473864,0.0,0.01854974704890388,0.01011804384485666,0.03204047217537943,0.07588532883642496,0.008431703204047217,0.02866779089376054,0.0,0.023608768971332208,0.006745362563237774,0.050590219224283306,0.011804384485666104,0.09780775716694773,0.013490725126475547,0.0
AMR,0.0,0.03488372093023256,0.12790697674418605,0.011627906976744186,0.0,0.005813953488372093,0.011627906976744186,0.0,0.0755813953488372,0.005813953488372093,0.10465116279069768,0.046511627906976744,0.09302325581395349,0.029069767441860465,0.011627906976744186,0.005813953488372093,0.005813953488372093,0.011627906976744186,0.011627906976744186,0.01744186046511628,0.03488372093023256,0.0,0.03488372093023256,0.011627906976744186,0.029069767441860465,0.06395348837209303,0.1744186046511628,0.023255813953488372,0.01744186046511628,0.0,0.0
ASIAN,0.003992015968063872,0.07784431137724551,0.03792415169660679,0.003992015968063872,0.021956087824351298,0.021956087824351298,0.07984031936127745,0.0,0.011976047904191617,0.001996007984031936,0.013972055888223553,0.00998003992015968,0.013972055888223553,0.3073852295409182,0.017964071856287425,0.021956087824351298,0.0,0.0,0.01996007984031936,0.005988023952095809,0.015968063872255488,0.001996007984031936,0.00998003992015968,0.013972055888223553,0.15169660678642716,0.005988023952095809,0.08782435129740519,0.021956087824351298,0.011976047904191617,0.005988023952095809,0.0
EUR,0.0084985835694051,0.05212464589235127,0.03002832861189802,0.0056657223796034,0.03984891406987724,0.0050991501416430595,0.018130311614730877,0.016619452313503306,0.06628895184135977,0.010953729933899906,0.0704438149197356,0.033616619452313506,0.07573182247403211,0.02870632672332389,0.07195467422096317,0.07422096317280454,0.013220018885741265,0.012275731822474031,0.023984891406987723,0.02700661000944287,0.05967894239848914,0.014164305949008499,0.037393767705382434,0.0169971671388102,0.04513692162417375,0.02020774315391879,0.06628895184135977,0.017563739376770537,0.015486307837582624,0.00793201133144476,0.014730878186968839
