signature,group,n,n_reference,r,r_reference,delta_z,delta_lo,delta_hi,se,mde_80pct,detectable
SIG_HALLMARK_ALLOGRAFT_REJECTION,AFR,594,5312,0.6160774942207623,0.6777748068248842,-0.1063282739917698,-0.1913194803707062,-0.02133706761283341,0.04336365721479384,0.1214869810562842,False
SIG_HALLMARK_ALLOGRAFT_REJECTION,ASIAN,502,5312,0.7707393212181458,0.6777748068248842,0.19715986331143276,0.10538901222563551,0.28893071439723,0.04682272317740224,0.1311778491256056,True
SIG_HALLMARK_ALLOGRAFT_REJECTION,AMR,172,5312,0.7059913505726159,0.6777748068248842,0.054159727701677096,-0.0989875883222118,0.207307043725566,0.0781378215272808,0.21890976576637916,False
SIG_HALLMARK_ANGIOGENESIS,AFR,594,5312,0.5497494097898953,0.6074946240184569,-0.08691882353120195,-0.17191002991013835,-0.0019276171522655539,0.04336365721479384,0.1214869810562842,False
SIG_HALLMARK_ANGIOGENESIS,ASIAN,502,5312,0.728366303675377,0.6074946240184569,0.22029778815505663,0.12852693706925938,0.3120686392408539,0.04682272317740224,0.1311778491256056,True
SIG_HALLMARK_ANGIOGENESIS,AMR,172,5312,0.5614162009151114,0.6074946240184569,-0.07004213294260708,-0.22318944896649598,0.08310518308128181,0.0781378215272808,0.21890976576637916,False
SIG_HALLMARK_COAGULATION,AFR,594,5312,0.5042664941573087,0.5902318806124506,-0.12301075042788834,-0.20800195680682473,-0.03801954404895194,0.04336365721479384,0.1214869810562842,True
SIG_HALLMARK_COAGULATION,ASIAN,502,5312,0.5926336446174902,0.5902318806124506,0.0036938521739294794,-0.08807699891186777,0.09546470325972672,0.04682272317740224,0.1311778491256056,False
SIG_HALLMARK_COAGULATION,AMR,172,5312,0.5823102860041108,0.5902318806124506,-0.01207063284850407,-0.16521794887239297,0.14107668317538483,0.0781378215272808,0.21890976576637916,False
SIG_HALLMARK_COMPLEMENT,AFR,594,5312,0.4868947792355142,0.5448669462255545,-0.0790695069566244,-0.1640607133355608,0.005921699422311993,0.04336365721479384,0.1214869810562842,False
SIG_HALLMARK_COMPLEMENT,ASIAN,502,5312,0.6243770058497737,0.5448669462255545,0.12109520520084449,0.029324354115047246,0.21286605628664174,0.04682272317740224,0.1311778491256056,False
SIG_HALLMARK_COMPLEMENT,AMR,172,5312,0.5516340345114482,0.5448669462255545,0.009675409820828151,-0.14347190620306075,0.16282272584471705,0.0781378215272808,0.21890976576637916,False
SIG_HALLMARK_E2F_TARGETS,AFR,594,5312,0.76617370116271,0.6808810584341354,0.18024136210156028,0.09525015572262388,0.2652325684804967,0.04336365721479384,0.1214869810562842,True
SIG_HALLMARK_E2F_TARGETS,ASIAN,502,5312,0.767722832601253,0.6808810584341354,0.18400331637555445,0.0922324652897572,0.2757741674613517,0.04682272317740224,0.1311778491256056,True
SIG_HALLMARK_E2F_TARGETS,AMR,172,5312,0.8438687536380279,0.6808810584341354,0.4037073833953452,0.2505600673714563,0.556854699419234,0.0781378215272808,0.21890976576637916,True
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,AFR,594,5312,0.5697370230555441,0.643650639908113,-0.1172483308227984,-0.2022395372017348,-0.032257124443862,0.04336365721479384,0.1214869810562842,False
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,ASIAN,502,5312,0.7751279800607456,0.643650639908113,0.26866645598448025,0.176895604898683,0.3604373070702775,0.04682272317740224,0.1311778491256056,True
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,AMR,172,5312,0.5515310149950253,0.643650639908113,-0.14380275052397096,-0.2969500665478598,0.00934456549991794,0.0781378215272808,0.21890976576637916,False
SIG_HALLMARK_G2M_CHECKPOINT,AFR,594,5312,0.7464656329716302,0.6708700002907657,0.15260154150946736,0.06761033513053097,0.23759274788840376,0.04336365721479384,0.1214869810562842,True
SIG_HALLMARK_G2M_CHECKPOINT,ASIAN,502,5312,0.784321739116416,0.6708700002907657,0.2441794801169762,0.15240862903117897,0.33595033120277346,0.04682272317740224,0.1311778491256056,True
SIG_HALLMARK_G2M_CHECKPOINT,AMR,172,5312,0.8117976209110352,0.6708700002907657,0.31995500218580586,0.16680768616191696,0.4731023182096947,0.0781378215272808,0.21890976576637916,True
SIG_HALLMARK_HYPOXIA,AFR,594,5312,0.5265005656310411,0.5456890564276607,-0.026930377557583873,-0.11192158393652027,0.05806082882135252,0.04336365721479384,0.1214869810562842,False
SIG_HALLMARK_HYPOXIA,ASIAN,502,5312,0.6841522959634895,0.5456890564276607,0.2246571299026342,0.13288627881683696,0.31642798098843145,0.04682272317740224,0.1311778491256056,True
SIG_HALLMARK_HYPOXIA,AMR,172,5312,0.6126864241770666,0.5456890564276607,0.100989397860059,-0.05215791816382989,0.2541367138839479,0.0781378215272808,0.21890976576637916,False
