site,n_patients,auroc
05,32,1.0
66,38,0.9993893573713288
86,33,0.9947718947718948
63,24,0.9943779470438883
97,22,0.9943243510018754
85,50,0.9934378499440089
60,25,0.9913725490196078
77,44,0.9888512488623724
22,37,0.9884255116043195
78,31,0.9877617430673458
56,41,0.9866691904169597
55,91,0.9781509570241965
44,44,0.9721154818485186
43,20,0.9547670639219934
49,28,0.946135831381733
