M0_intercept,M1_purity,M2_+type,M3_+site,M4_+stage,Mfull_+image,Image_only,signature,incremental_image_r2,n_x,r_image,r_purity,r_partial,n_y
0.0,0.0907347391881016,0.2946235387287661,0.3622811199110172,0.3622811199110172,0.5191970391575738,0.39615139619584716,SIG_HALLMARK_E2F_TARGETS,0.1687880040071308,924,0.6294055895810325,0.30122207619645264,0.6032269957318086,924
0.0,0.06802593092329823,0.26784866842250854,0.3552755972822327,0.3552755972822327,0.48890008520384987,0.34743062004067904,SIG_HALLMARK_G2M_CHECKPOINT,0.14360585670043213,924,0.5894324558765647,0.26081781174470914,0.5659247088893449,924
0.0,0.13411038913501883,0.2998801796381604,0.37588747095742336,0.37588747095742336,0.4615213065245798,0.2842214084773981,SIG_HALLMARK_MYC_TARGETS_V1,0.09176379470677887,924,0.5331241961094974,0.36621085338233617,0.4848271190834512,924
0.0,0.148346715775309,0.17017965031244064,0.270760048995798,0.270760048995798,0.3539607871124758,0.2184717804899149,SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.08900122166217617,924,0.4674096495472841,-0.38515803999827003,0.3813687208590663,924
0.0,0.26555399640898103,0.27350232201032376,0.36004973073809665,0.36004973073809665,0.4373342705097488,0.2214819726875652,SIG_HALLMARK_ALLOGRAFT_REJECTION,0.08271988678029385,924,0.47061871264067373,-0.5153193149970036,0.32990487339029034,924
0.0,0.17748589713286245,0.19673093885218562,0.27838052325646834,0.27838052325646834,0.34568384839177246,0.1769177793673714,SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0718289902397633,924,0.42061595234533267,-0.42129075130230675,0.30921460633573594,924
0.0,0.14529926012887273,0.14565399084929087,0.24754541546902098,0.24754541546902098,0.30802878309547366,0.1715007446465069,SIG_HALLMARK_ANGIOGENESIS,0.06441902739280903,924,0.4141264838748024,-0.381181400554739,0.3138180880939289,924
0.0,0.1029096333667533,0.13815585266406272,0.21598722362033196,0.21598722362033196,0.27510949236218807,0.1420032508376179,SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.0629080644494685,924,0.3768331870173031,-0.3207953138166975,0.3059210635040634,924
0.0,0.17318586927635427,0.21649323395004505,0.33782543766806183,0.33782543766806183,0.3951150788431671,0.22347945837564098,SIG_HALLMARK_COAGULATION,0.06108138181097489,924,0.4727361403316237,-0.4161560636063762,0.38101443128760243,924
0.0,0.01332989851260069,0.060209062225556886,0.18758019986411545,0.18758019986411545,0.23241449323194263,0.10740676862993559,SIG_HALLMARK_HYPOXIA,0.04742976519179909,924,0.32772971886897184,-0.11545517966986424,0.31751453961689774,924
0.0,0.12400532732127201,0.12750962921037434,0.2422364043548182,0.2422364043548182,0.28435467412284654,0.12744892168158106,SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.04456338737924803,924,0.356999890310321,-0.3521439014398403,0.2514810570905768,924
0.0,0.22786922097280005,0.23354076441559946,0.33909417612009474,0.33909417612009474,0.3764071809406754,0.16560027746563055,SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.03949231189146685,924,0.40694013990466826,-0.4773564925428375,0.25329165697855444,924
0.0,0.24083922327653873,0.24294060872210488,0.35845265497612566,0.35845265497612566,0.39285695071085824,0.17107238840039019,SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.036373060854380745,924,0.41360898007706576,-0.49075372976324777,0.24921129832561406,924
0.0,0.005673493372396754,0.009145640006761435,0.17262498298700557,0.17262498298700557,0.2043139906866499,0.05457416534259407,SIG_HALLMARK_TGF_BETA_SIGNALING,0.03320348497005743,924,0.23361114130664662,-0.07532259536418708,0.2265283380228063,924
0.0,0.17042369061335005,0.18941651574077212,0.3057725053586198,0.3057725053586198,0.3285991882220568,0.12424658124487276,SIG_HALLMARK_COMPLEMENT,0.023793427837860093,924,0.3524862851869167,-0.4128240431628833,0.22911368687247663,924
0.0,0.11753595058988242,0.11893456056060647,0.25521912074339315,0.25521912074339315,0.27115489198609044,0.07857275589522494,SIG_HALLMARK_IL2_STAT5_SIGNALING,0.01628185239216806,924,0.280308322914652,-0.3428351653344251,0.18515483601968538,924
