signature,adjustment,mde_80pct_z,mde_80pct_c_index,observed,null_mean,null_sd,n_null,excess_z,excess_lo,excess_hi,beats_null,metric,stratified,endpoint,n_events
SIG_HALLMARK_ALLOGRAFT_REJECTION,axis_residualised,0.09235094459087147,0.04604464638363693,0.5221454112038141,0.5274638140643624,0.01440698159644179,1000,-0.010710537772066674,-0.07531843338991953,0.05389735784578619,False,c_index,True,PFI,327
SIG_HALLMARK_ALLOGRAFT_REJECTION,raw,0.09232191113890746,0.04603025272736745,0.5246722288438617,0.5237294874851014,0.006186778440559324,1000,0.0018826452702404711,-0.06270493880405183,0.06647022934453277,False,c_index,True,PFI,327
SIG_HALLMARK_ANGIOGENESIS,axis_residualised,0.09236050315555099,0.04604938513139849,0.5461382598331347,0.5240856138259833,0.016220430831922164,1000,0.04427231352120776,-0.020342269183082677,0.10888689622549819,False,c_index,True,PFI,327
SIG_HALLMARK_ANGIOGENESIS,raw,0.09233894230086351,0.04603869612439371,0.5359594755661502,0.5247068176400477,0.01173841822130655,1000,0.02256162226936341,-0.04203787665364843,0.08716112119237525,False,c_index,True,PFI,327
SIG_HALLMARK_COAGULATION,axis_residualised,0.09235272204058179,0.04604552757157196,0.5151370679380215,0.5294298450536353,0.014756884718752875,1000,-0.028697156506820736,-0.09330629561260823,0.035911982598966746,False,c_index,True,PFI,327
SIG_HALLMARK_COAGULATION,raw,0.09232435300160191,0.04603146331088251,0.5042550655542313,0.5265740882002383,0.007246532840471068,1000,-0.04469904240480698,-0.10928833478442063,0.01989024997480667,False,c_index,True,PFI,327
SIG_HALLMARK_COMPLEMENT,axis_residualised,0.0923470670411856,0.04604272404976712,0.5154112038140644,0.53190873659118,0.01358928873564529,1000,-0.03311959854852864,-0.09772478146726979,0.03148558437021251,False,c_index,True,PFI,327
SIG_HALLMARK_COMPLEMENT,raw,0.09232204643720121,0.04603031980317772,0.5079261025029798,0.5279464719904648,0.0062450621833632,1000,-0.04010645568309357,-0.10469413441086318,0.02448122304467605,False,c_index,True,PFI,327
SIG_HALLMARK_E2F_TARGETS,axis_residualised,0.09233127936169783,0.04603489713627273,0.5400357568533969,0.5372102979737783,0.009617194354398503,1000,0.005657328096806996,-0.05893680990243805,0.07025146609605204,False,c_index,True,PFI,327
SIG_HALLMARK_E2F_TARGETS,raw,0.09231991412478995,0.046029262682610456,0.5461620977353993,0.5355225625744935,0.005142345768061719,1000,0.021415293554340617,-0.043170893426719745,0.08600148053540098,False,c_index,True,PFI,327
