M0_intercept,M1_purity,M2_+type,M3_+site,M4_+stage,Mfull_+image,Image_only,signature,incremental_image_r2,n_x,r_image,r_purity,r_partial,n_y
0.0,0.058395267806361506,0.2131733551298195,0.3169420588745022,0.3169420588745022,0.4042769417945361,0.23330795169764618,SIG_HALLMARK_E2F_TARGETS,0.0935205991401642,925,0.4830196183361983,0.24165112829523766,0.45626787843088157,925
0.0,0.12554949553265582,0.14790907825630517,0.264247027175861,0.264247027175861,0.3423781029184514,0.208297520665913,SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.08350750099095194,925,0.45639623208996055,-0.35432964246962995,0.37783092492625253,925
0.0,0.22813704835759885,0.23443364155531676,0.3312524225603992,0.3312524225603992,0.40875527689801805,0.2068455424789567,SIG_HALLMARK_ALLOGRAFT_REJECTION,0.08291317546545796,925,0.45480275117786684,-0.47763694199422924,0.3240353305265637,925
0.0,0.0423592382147604,0.19460107926243886,0.31635667986216354,0.31635667986216354,0.39219762931942903,0.2071238548623029,SIG_HALLMARK_G2M_CHECKPOINT,0.08109834603995192,925,0.4551086187519439,0.2058136006554488,0.4336509143581163,925
0.0,0.149794403639817,0.16637671844944735,0.2546663042018109,0.2546663042018109,0.3256370469270353,0.17385501067878284,SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.07575722085470626,925,0.4169592434264802,-0.3870328198484164,0.31584548752226677,925
0.0,0.08811962452568656,0.12057110592269538,0.19933549430846964,0.19933549430846964,0.26389536587051377,0.1425168682474589,SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.06875912588062316,925,0.37751406364195067,-0.29684949810583594,0.3126182031469927,925
0.0,0.12010253218744171,0.12094108151492933,0.24199302935863543,0.24199302935863543,0.2987230052173857,0.16707635815673383,SIG_HALLMARK_ANGIOGENESIS,0.06035119908284248,925,0.4087497500387419,-0.34655812237984235,0.3195679256294524,925
0.0,0.1369476461052067,0.1759735607610562,0.3145889355453081,0.3145889355453081,0.36586929602838425,0.19861875427238895,SIG_HALLMARK_COAGULATION,0.05455344266596995,925,0.44566664029562375,-0.37006438102741923,0.361416470684911,925
0.0,0.09634525093407387,0.23066748172449714,0.3388309462821546,0.3388309462821546,0.3888432535698211,0.18617249224013344,SIG_HALLMARK_MYC_TARGETS_V1,0.05321366094127555,925,0.4314771051169848,0.31039531396925774,0.38369490388358396,925
0.0,0.010811878418299337,0.05463238579780172,0.1900171148705353,0.1900171148705353,0.23161029717051473,0.10700090730763567,SIG_HALLMARK_HYPOXIA,0.043927220029533975,925,0.3271099315331709,-0.10398018281528218,0.3190424161002439,925
0.0,0.18498810378549257,0.1891169834915596,0.30868733457732267,0.30868733457732267,0.34682907478610747,0.15169848424563603,SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.04034706190201476,925,0.38948489604301173,-0.43010243406134374,0.2537085725766344,925
0.0,0.19345382167661274,0.19463682507574231,0.3275805581527511,0.3275805581527511,0.36143449584007237,0.14984921258299322,SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.03573707892809441,925,0.3871036199559402,-0.439833856901231,0.2429456975448805,925
0.0,0.09420127367613906,0.09862537722727238,0.21922756667794907,0.21922756667794907,0.24983343807302028,0.09661765344464368,SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.0320900921138898,925,0.31083380357458407,-0.30692225998799627,0.2234157288563922,925
0.0,0.005087699872312057,0.008875274684003731,0.1793867565854187,0.1793867565854187,0.20947167265449107,0.048423895395603545,SIG_HALLMARK_TGF_BETA_SIGNALING,0.03147679567472994,925,0.22005430101591547,-0.0713281141788587,0.2135125552767972,925
0.0,0.142109591088192,0.1594977221909618,0.28648730632843644,0.28648730632843644,0.31228547283846,0.12139667047654012,SIG_HALLMARK_COMPLEMENT,0.026979312569207492,925,0.348420249808389,-0.3769742578587986,0.2333734690330982,925
0.0,0.09847401051335347,0.09988952333333145,0.24386916199762254,0.24386916199762254,0.2599321775501281,0.07382866883182193,SIG_HALLMARK_IL2_STAT5_SIGNALING,0.016404712355641338,925,0.27171431473483654,-0.3138056891029119,0.1838622848433478,925
