site,n_patients,auroc
05,32,1.0
66,38,0.9995352619960497
86,33,0.9963742806772444
85,50,0.9962863534675616
63,24,0.9947463768115943
60,25,0.9925136017410229
56,41,0.9918429084623072
77,44,0.9915909090909091
78,31,0.9874571600183727
22,37,0.9870377544026938
97,22,0.9869848156182213
55,91,0.9774164873813174
44,45,0.9684340625386232
43,20,0.9469696969696969
49,28,0.935199625701809
