signature,r_raw,r_axis,r_residual,n,r_residual_refit
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.4683646572734816,-0.11374326053642582,0.4409703821198026,944,0.44416292756963555
SIG_HALLMARK_ANGIOGENESIS,0.3983794100601128,-0.03908487690526575,0.40963602817150313,944,0.40237446174874136
SIG_HALLMARK_COAGULATION,0.4418938399253021,-0.003158629860737072,0.34641302157026177,944,0.3343446232264784
SIG_HALLMARK_COMPLEMENT,0.35994163793510764,-0.06666654939153306,0.33380748625512363,944,0.3424539230265289
SIG_HALLMARK_E2F_TARGETS,0.4965199782445136,0.053437954261996955,0.30364196522355674,944,0.40325696736913846
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.4436103100069664,-0.020679348454537096,0.44677412019184987,944,0.44027399196995953
SIG_HALLMARK_G2M_CHECKPOINT,0.4660456867535887,0.05803450784222237,0.2805294442416836,944,0.38914265950915106
SIG_HALLMARK_HYPOXIA,0.33063052284093625,0.08439783448591537,0.27939145691279055,944,0.3391168834367265
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.2946433581135229,-0.005972543646280909,0.293315488001226,944,0.2850569568237249
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.3849472839155357,-0.09544359559606161,0.3769459139518887,944,0.3882869453122308
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.3852764072287886,-0.08582857374035739,0.37297503632466233,944,0.3745290827434341
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.38148898364594125,-0.09354670385417024,0.3472917993954114,944,0.37078206652907353
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.41511028982650744,-0.10045803661726696,0.39248413591170295,944,0.4052104807647
SIG_HALLMARK_MYC_TARGETS_V1,0.446674971935732,0.052052006535828664,0.24306469994923774,944,0.3290635613060463
SIG_HALLMARK_TGF_BETA_SIGNALING,0.24890837389934148,0.06599907339322457,0.24092665246763437,944,0.25381340968727795
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.3196619781456005,-0.041112209253730964,0.32714617930659073,944,0.3237191130133761
