M0_intercept,M1_purity,M2_+type,M3_+site,M4_+stage,Mfull_+image,Image_only,signature,incremental_image_r2,n_x,r_image,r_purity,r_partial,n_y
0.0,0.058395267806361506,0.2131733551298195,0.3169420588745022,0.3169420588745022,0.40529625527496915,0.2460962979490383,SIG_HALLMARK_E2F_TARGETS,0.09462217300673748,925,0.4960809389092053,0.24165112829523766,0.46721674105377237,925
0.0,0.12554949553265582,0.14790907825630517,0.264247027175861,0.264247027175861,0.3427676314444389,0.19729567411002913,SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.08392846515237007,925,0.44417977679091736,-0.35432964246962995,0.36397609134879017,925
0.0,0.22813704835759885,0.23443364155531676,0.3312524225603992,0.3312524225603992,0.40874533143335234,0.21633485220053517,SIG_HALLMARK_ALLOGRAFT_REJECTION,0.08290242738434561,925,0.46511810564687295,-0.47763694199422924,0.33324540946398046,925
0.0,0.0423592382147604,0.19460107926243886,0.31635667986216354,0.31635667986216354,0.3911407561925997,0.21667147602392534,SIG_HALLMARK_G2M_CHECKPOINT,0.07995618139762406,925,0.4654798341753655,0.2058136006554488,0.44177250804814927,925
0.0,0.149794403639817,0.16637671844944735,0.2546663042018109,0.2546663042018109,0.3227403842806097,0.1695800078066545,SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.07262679245084969,925,0.41180093225568887,-0.3870328198484164,0.30958432712846135,925
0.0,0.08811962452568656,0.12057110592269538,0.19933549430846964,0.19933549430846964,0.26458208254503846,0.14283219484133136,SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.06950126179554816,925,0.37793146844544606,-0.29684949810583594,0.313553780172882,925
0.0,0.12010253218744171,0.12094108151492933,0.24199302935863543,0.24199302935863543,0.2985916946058187,0.15801218128484318,SIG_HALLMARK_ANGIOGENESIS,0.06020929147455256,925,0.3975074606656372,-0.34655812237984235,0.3068675925250414,925
0.0,0.09634525093407387,0.23066748172449714,0.3388309462821546,0.3388309462821546,0.3895841887967443,0.1987267766921389,SIG_HALLMARK_MYC_TARGETS_V1,0.05401439094089788,925,0.44578781577353505,0.31039531396925774,0.3955913626622001,925
0.0,0.1369476461052067,0.1759735607610562,0.3145889355453081,0.3145889355453081,0.3651056709424386,0.1940752658578655,SIG_HALLMARK_COAGULATION,0.05372819169589538,925,0.44053974378921307,-0.37006438102741923,0.3570208754085775,925
0.0,0.010811878418299337,0.05463238579780172,0.1900171148705353,0.1900171148705353,0.23496208711663702,0.11086413038155107,SIG_HALLMARK_HYPOXIA,0.04754950530464164,925,0.3329626561366175,-0.10398018281528218,0.32481704202452033,925
0.0,0.18498810378549257,0.1891169834915596,0.30868733457732267,0.30868733457732267,0.34430393957441263,0.14701491136859435,SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.037618143848674346,925,0.38342523569607995,-0.43010243406134374,0.24506023082391917,925
0.0,0.005087699872312057,0.008875274684003731,0.1793867565854187,0.1793867565854187,0.2140649777058905,0.06284402617606155,SIG_HALLMARK_TGF_BETA_SIGNALING,0.03644078850220722,925,0.2506871081169943,-0.0713281141788587,0.24423346489718611,925
0.0,0.09420127367613906,0.09862537722727238,0.21922756667794907,0.21922756667794907,0.25378606688936367,0.10317131298007087,SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.03636170501014857,925,0.3212029155846364,-0.30692225998799627,0.23384995419755963,925
0.0,0.19345382167661274,0.19463682507574231,0.3275805581527511,0.3275805581527511,0.3608414568024255,0.14789859615695833,SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.03509618059969011,925,0.38457586528142723,-0.439833856901231,0.23748780292700516,925
0.0,0.142109591088192,0.1594977221909618,0.28648730632843644,0.28648730632843644,0.3133776398572453,0.12867881140911575,SIG_HALLMARK_COMPLEMENT,0.02815961938249123,925,0.3587182897610823,-0.3769742578587986,0.24504954395984574,925
0.0,0.09847401051335347,0.09988952333333145,0.24386916199762254,0.24386916199762254,0.2632036805083542,0.08663662176377329,SIG_HALLMARK_IL2_STAT5_SIGNALING,0.019940231342075232,925,0.29434099572396205,-0.3138056891029119,0.2071397762830667,925
