k,n_sets,median_gap,mean_gap
10,16,0.5052464444879067,0.44913508923136947
20,16,0.36325589954567084,0.34053944259163527
40,15,0.2637949587365138,0.2652627263327708
80,14,0.1718810446133831,0.16873518993305225
160,11,0.09716559346042897,0.0970786463521731
