signature,observed,n_null,excess_z,excess_lo,excess_hi,beats_null,null_mean,null_sd,null_degenerate,percentile_SECONDARY_biased_on_tight_null
SIG_immune_clean,0.9376371666719389,40,1.1441432211980223,0.8211215604557287,1.4671648819403158,True,0.5162837644916891,0.05319039357322127,0.0,100.0
SIG_immune_purity,0.5776119307729315,40,-0.02440593068184238,-0.34737526658620416,0.2985634052225194,False,0.5917627410163885,0.04481261290769545,0.0,35.0
SIG_immune_siteconf,-0.1255806348266122,40,-0.10477406636886932,-0.4270305002374916,0.21748236749975297,False,-0.021463998356555408,0.016441562093612336,1.0,0.0
