signature,adjustment,observed,null_mean,null_sd,n_null,excess_z,excess_lo,excess_hi,beats_null,metric,endpoint,n_events
SIG_HALLMARK_ALLOGRAFT_REJECTION,axis_residualised,0.5186357638621799,0.5301344591516127,0.011390522243417509,1000,-0.02308500634067155,-0.08764855439773256,0.041478541716389455,False,c_index,PFI,328
SIG_HALLMARK_ALLOGRAFT_REJECTION,raw,0.5096655088962918,0.5161694999497051,0.0064534196610391064,1000,-0.013022242605506478,-0.07757518756782557,0.051530702356812605,False,c_index,PFI,328
SIG_HALLMARK_ANGIOGENESIS,axis_residualised,0.5499133151482518,0.5270989627403064,0.015748223492930483,1000,0.04585102231261744,-0.01872673080415692,0.11042877542939179,False,c_index,PFI,328
SIG_HALLMARK_ANGIOGENESIS,raw,0.5394282941722928,0.5191106489233919,0.011837444042259187,1000,0.04075702630686931,-0.023807707221303334,0.10532175983504195,False,c_index,PFI,328
SIG_HALLMARK_COAGULATION,axis_residualised,0.5191801328970491,0.5314993461654527,0.01297380365975054,1000,-0.024746233546183487,-0.08931443016684135,0.03982196307447438,False,c_index,PFI,328
SIG_HALLMARK_COAGULATION,raw,0.5202629539120607,0.5167353478932326,0.007856216702937874,1000,0.007056435988277071,-0.05749890710820353,0.07161177908475767,False,c_index,PFI,328
SIG_HALLMARK_COMPLEMENT,axis_residualised,0.5191564646781418,0.5344844351875411,0.010947929337602982,1000,-0.03078020533499038,-0.09534259607898671,0.03378218540900594,False,c_index,PFI,328
SIG_HALLMARK_COMPLEMENT,raw,0.520617977195671,0.5184092590072366,0.006380458440669967,1000,0.004418150522102378,-0.06013468599214653,0.0689709870363513,False,c_index,PFI,328
SIG_HALLMARK_E2F_TARGETS,axis_residualised,0.5334402347887316,0.5420520286622131,0.008719098880993113,1000,-0.017348312919724662,-0.08190546696502095,0.047208841125571624,False,c_index,PFI,328
SIG_HALLMARK_E2F_TARGETS,raw,0.5026478819902606,0.5238892800719513,0.005893935518605848,1000,-0.042525745839952334,-0.1070778762478003,0.02202638456789563,False,c_index,PFI,328
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,axis_residualised,0.5399608290977084,0.5386206635385171,0.009470141204699798,1000,0.0026691858850246414,-0.061889597665685525,0.06722796943573481,False,c_index,PFI,328
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,raw,0.5278012816340538,0.5223309704561457,0.006361365226976744,1000,0.010961077451185228,-0.05359173588469533,0.07551389078706579,False,c_index,PFI,328
SIG_HALLMARK_G2M_CHECKPOINT,axis_residualised,0.5479606870883948,0.5404730685254108,0.009037278228011295,1000,0.015066953780606185,-0.04949087525799367,0.07962478281920604,False,c_index,PFI,328
SIG_HALLMARK_G2M_CHECKPOINT,raw,0.5112335283989041,0.5227452944622285,0.006201170504130664,1000,-0.023058258299106363,-0.08761083247058629,0.041494315872373566,False,c_index,PFI,328
SIG_HALLMARK_HYPOXIA,axis_residualised,0.564475186831003,0.540347603296983,0.009956133190095808,1000,0.04876902965194781,-0.01579090589454668,0.1133289651984423,False,c_index,PFI,328
SIG_HALLMARK_HYPOXIA,raw,0.5338366774554297,0.5219002739596339,0.006839852201733313,1000,0.02394009707709107,-0.04061347112169791,0.08849366527588004,False,c_index,PFI,328
SIG_HALLMARK_IL2_STAT5_SIGNALING,axis_residualised,0.5055649899705923,0.5343409761956889,0.010529456046178656,1000,-0.05769040216509871,-0.12225170926633336,0.006870904936135937,False,c_index,PFI,328
SIG_HALLMARK_IL2_STAT5_SIGNALING,raw,0.5034881037614717,0.5184048271332462,0.006165263540576156,1000,-0.029855580588426252,-0.09440809464399824,0.03469693346714573,False,c_index,PFI,328
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,axis_residualised,0.5048786116222789,0.5299251433406508,0.01404733449545751,1000,-0.05021283009973468,-0.11478450043301087,0.014358840233541517,False,c_index,PFI,328
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,raw,0.5071270924184778,0.5173401241398081,0.008658990375906131,1000,-0.020449804302901664,-0.0850067330399781,0.04410712443417478,False,c_index,PFI,328
SIG_HALLMARK_INFLAMMATORY_RESPONSE,axis_residualised,0.5053105566173381,0.5248638722389543,0.012056929192214854,1000,-0.03917676253126907,-0.10374214611950963,0.025388621056971504,False,c_index,PFI,328
