signature,observed,n_null,excess_z,excess_lo,excess_hi,beats_null,null_mean,null_sd,null_degenerate,percentile_SECONDARY_biased_on_tight_null
SIG_HALLMARK_E2F_TARGETS,0.7066464517426926,1000,0.38770803462681735,0.32561953713852715,0.44979653211510756,True,0.45620846520239783,0.01791080859850554,1.0,100.0
SIG_HALLMARK_G2M_CHECKPOINT,0.6970350476197139,1000,0.35738599003153526,0.29529538570045183,0.4194765943626187,True,0.4651439392371365,0.018882525060201882,1.0,100.0
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.6644115254627518,1000,0.2942507479591684,0.232159851359531,0.3563416445588058,True,0.4669366907452443,0.019007544904509982,1.0,100.0
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.6887824142464167,1000,0.2922273721449603,0.2301336824040498,0.3543210618858708,True,0.50281565848205,0.019518317298631325,1.0,100.0
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.6332297634250407,1000,0.23812152272911502,0.1760309119266385,0.30021213353159154,True,0.4686953314022929,0.01880721676032766,1.0,100.0
SIG_HALLMARK_MYC_TARGETS_V1,0.5831179729931688,1000,0.2375629737351338,0.17547183852698867,0.29965410894327893,True,0.4047945547609973,0.020390130527708182,0.0,100.0
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.6645453702490556,1000,0.2301238683129988,0.1680324553172122,0.29221528130878544,True,0.5157077508640543,0.018043346665163763,1.0,100.0
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.6262788537170206,1000,0.22603070320479168,0.1639395309183228,0.28812187549126056,True,0.46913387342172724,0.01905528808404977,1.0,100.0
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.6466588975142344,1000,0.2203202746931131,0.1582065553576611,0.2824339940285651,True,0.49943532471983476,0.02734572554068154,0.0,100.0
SIG_HALLMARK_ANGIOGENESIS,0.6235884754904782,1000,0.1992272235454683,0.13706179837140695,0.2613926487195296,True,0.4855167709439801,0.04185621201042979,0.0,100.0
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.5942337604985961,1000,0.15620776296853356,0.0941169063004661,0.21829861963660102,True,0.4836165410087066,0.018562365904868275,1.0,100.0
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.5657290392938263,1000,0.15255266783971755,0.09044539031928969,0.2146599453601454,True,0.4527559470005842,0.026599132288275446,0.0,100.0
SIG_HALLMARK_HYPOXIA,0.5723343608905054,1000,0.14520376874288676,0.08311242495123483,0.2072951125345387,True,0.4664336156974163,0.01918015372390199,1.0,100.0
SIG_HALLMARK_COAGULATION,0.5870168533862065,1000,0.1325422674322071,0.07044142487560345,0.19464310998881074,True,0.4930727485622873,0.022827670473214337,0.0,100.0
SIG_HALLMARK_TGF_BETA_SIGNALING,0.5501955135267071,1000,0.13185879757798713,0.06972557856095135,0.1939920165950229,True,0.45097457028215177,0.03524814612161496,0.0,99.9
SIG_HALLMARK_COMPLEMENT,0.5563579305046569,1000,0.09402045624932032,0.031929236326902026,0.1561116761717386,True,0.4878465075330788,0.01862555345356773,1.0,100.0
