M0_intercept,M1_purity,M2_+type,M3_+site,Mfull_+image,Image_only,signature,incremental_image_r2,n_x,r_image,r_purity,r_partial,n_y
0.0,0.13444774197111387,0.4523551326609604,0.5446049935258704,0.603495891583199,0.4367081403074641,SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.06459877803837044,6851,0.6609186696303303,-0.3652633669237677,0.6168787933723194,6870
0.0,0.28076027430377337,0.5019977554639922,0.5733429690595359,0.6258781159097834,0.4717307982475537,SIG_HALLMARK_ALLOGRAFT_REJECTION,0.057623415146420554,6851,0.6868152688138912,-0.5295395577600074,0.5825793435707899,6870
0.0,0.10691057965315864,0.41314903948895276,0.5105072212268479,0.560869547632501,0.3829963397491074,SIG_HALLMARK_ANGIOGENESIS,0.05522597719452371,6851,0.6191508354116628,-0.3253928069274253,0.5767919854609378,6870
0.0,0.14041988267722116,0.31818442893522114,0.3988217671566854,0.4471435484009916,0.31522931106382257,SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.052965214474156364,6851,0.5607469955958074,-0.37512449917431245,0.4766811538256093,6870
0.0,0.20783525416839588,0.41679502224970133,0.49326879114463906,0.540342544681572,0.39765311921461377,SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.05161115375135261,6851,0.6299291943017418,-0.45617071242527946,0.5309384997354681,6870
0.0,0.0024730344260118775,0.5100366132129321,0.5906499915153707,0.6279540955739065,0.4983784731905604,SIG_HALLMARK_E2F_TARGETS,0.04089844510681173,6851,0.7064214155933937,-0.0483981687677757,0.7069013004457552,6870
0.0,0.24474493756099214,0.46786639674037556,0.5503539686806743,0.5844056341930012,0.4155744247203127,SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.037319247825842505,6851,0.6441892494121417,-0.494437820189089,0.5360924283552686,6870
0.0,0.007869240266459743,0.492712298713902,0.5783188697375363,0.6117449258082481,0.48526162177289045,SIG_HALLMARK_G2M_CHECKPOINT,0.03663707431562924,6851,0.6969533144494819,-0.08740364099981694,0.6945639218808252,6870
0.0,0.2537382177478482,0.49841687722672134,0.5844280154821929,0.6159455236506526,0.4393496605511731,SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.034542021465482686,6851,0.6624436828525088,-0.50334531374833,0.5613279024260512,6870
0.0,0.10933162219193526,0.43731994259207885,0.5229610724042217,0.554047945858873,0.3398416126249264,SIG_HALLMARK_COAGULATION,0.03405823997532065,6851,0.5825850955173892,-0.32936684199687616,0.5377531372453598,6870
0.0,0.03419477459250664,0.3269247626866354,0.4340811963152945,0.46458105358782276,0.2979443883567553,SIG_HALLMARK_TGF_BETA_SIGNALING,0.03339788073478378,6851,0.5455970745441076,-0.18408296531714397,0.5273132161839883,6870
0.0,0.16532047578967435,0.39281745888665176,0.48485210083971797,0.5147375338062893,0.3501610888660749,SIG_HALLMARK_IL2_STAT5_SIGNALING,0.03273200699088563,6851,0.5916033952855432,-0.40599364049806047,0.5094691640302355,6870
0.0,0.173634697542549,0.44049840389742956,0.5267281571855329,0.5562397801482822,0.3904279294132116,SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.03232883013049037,6851,0.6242273610062334,-0.4163958989309739,0.545007712820991,6870
0.0,0.06788992454712428,0.3610082070470483,0.4587604553575573,0.4871129280243144,0.3234123759924479,SIG_HALLMARK_HYPOXIA,0.031043786771554616,6851,0.5685471419817595,-0.2597444290379993,0.5335064107409984,6870
0.0,0.17332090226685826,0.35895040341996143,0.46239129762161935,0.4905737893809555,0.30651115653999095,SIG_HALLMARK_COMPLEMENT,0.030857738646244304,6851,0.5534919357967827,-0.41586864357544756,0.45609541043117735,6870
0.0,5.980958687457072e-05,0.3596790418767445,0.4500272948865337,0.47767032506596496,0.3382934926625567,SIG_HALLMARK_MYC_TARGETS_V1,0.030263079541351767,6851,0.5823581284452494,-0.006442824763029237,0.5854283761932721,6870
