signature,adjustment,mde_80pct_z,mde_80pct_c_index,observed,null_mean,null_sd,n_null,excess_z,excess_lo,excess_hi,beats_null,metric,stratified,endpoint,n_events
SIG_HALLMARK_ALLOGRAFT_REJECTION,axis_residualised,0.033375095055169425,0.016681354217511563,0.5055931288091136,0.5296368559330024,0.009647011527822076,1000,-0.04817870317799945,-0.07152762144963178,-0.02482978490636713,False,c_index,True,PFI,2442
SIG_HALLMARK_ALLOGRAFT_REJECTION,raw,0.03333694357367611,0.016662299685161582,0.507288211141684,0.516499869279365,0.0035620074196510273,1000,-0.01843595097857685,-0.04175817881466565,0.004886276857511945,False,c_index,True,PFI,2442
SIG_HALLMARK_ANGIOGENESIS,axis_residualised,0.033406412032655534,0.016696995260908457,0.5489195189480632,0.5234464774003309,0.0126264584027364,1000,0.05119426379097877,0.027823436441735464,0.07456509114022208,True,c_index,True,PFI,2442
SIG_HALLMARK_ANGIOGENESIS,raw,0.03335588377424502,0.01667175926265399,0.5421713340362246,0.517062698759654,0.007266077973377946,1000,0.050397442013784065,0.027061963782620716,0.07373292024494742,True,c_index,True,PFI,2442
SIG_HALLMARK_COAGULATION,axis_residualised,0.03337887649767339,0.01668324283401957,0.5344802461833861,0.5326457792235623,0.010045014654658499,1000,0.003659159068066631,-0.019692404666951734,0.027010722803084995,False,c_index,True,PFI,2442
SIG_HALLMARK_COAGULATION,raw,0.03334030299256441,0.01666397752905197,0.5304000480023315,0.5190025522668243,0.004448743410890061,1000,0.02284874254698476,-0.0004758355085396175,0.046173320602509144,False,c_index,True,PFI,2442
SIG_HALLMARK_COMPLEMENT,axis_residualised,0.033366250521526745,0.016676936871680797,0.5267055828425952,0.533934808976436,0.008618014558221662,1000,-0.014532212131553736,-0.03787494284648151,0.00881051858337404,False,c_index,True,PFI,2442
SIG_HALLMARK_COMPLEMENT,raw,0.033336708712930756,0.016662182385197816,0.5229211133112179,0.5180474944497304,0.003490677831567052,1000,0.009761932795078462,-0.013560130734531523,0.03308399632468845,False,c_index,True,PFI,2442
SIG_HALLMARK_E2F_TARGETS,axis_residualised,0.03335510101452988,0.01667136831791852,0.5666525231225517,0.5361912207164349,0.007123886863921973,1000,0.06157927562734258,0.03824434500788145,0.08491420624680371,True,c_index,True,PFI,2442
SIG_HALLMARK_E2F_TARGETS,raw,0.03333563120919651,0.016661644231602477,0.546176528574245,0.5196697846752556,0.0031462593925919626,1000,0.05325553268471405,0.029934222967088316,0.07657684240233978,True,c_index,True,PFI,2442
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,axis_residualised,0.033358075963035846,0.016672854138342335,0.5556548460925245,0.5367305526268419,0.007547974019033014,1000,0.03816231653088363,0.0148253046640309,0.061499328397736364,True,c_index,True,PFI,2442
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,raw,0.03333625743232555,0.016661956995468376,0.550749607838095,0.5197724132314998,0.003350048538142328,1000,0.06228268334348544,0.03896093552575435,0.08560443116121652,True,c_index,True,PFI,2442
SIG_HALLMARK_G2M_CHECKPOINT,axis_residualised,0.0333569916084253,0.016672312563884087,0.569380512767763,0.5354157966244074,0.007399200957318706,1000,0.06869618266477855,0.04535992940272192,0.09203243592683517,True,c_index,True,PFI,2442
SIG_HALLMARK_G2M_CHECKPOINT,raw,0.03333606892294737,0.016661862845446948,0.5447557452790565,0.5188478926119269,0.0032905982593780386,1000,0.05203642007910825,0.028714804140853686,0.07535803601736281,True,c_index,True,PFI,2442
SIG_HALLMARK_HYPOXIA,axis_residualised,0.03335832507236314,0.0166729785545081,0.5519410942817222,0.5369420307557796,0.0075836072757001,1000,0.030222501538834545,0.006885315397322397,0.05355968768034669,True,c_index,True,PFI,2442
SIG_HALLMARK_HYPOXIA,raw,0.033336413014370125,0.016662034700104633,0.5407484077798065,0.5199264407128347,0.0033990689346212652,1000,0.041802138233330864,0.018480281571791633,0.0651239948948701,True,c_index,True,PFI,2442
SIG_HALLMARK_IL2_STAT5_SIGNALING,axis_residualised,0.03336597109020455,0.016676797311449405,0.5222696530974361,0.5331005906001148,0.008586062844871475,1000,-0.021748808661858313,-0.04509134388912999,0.0015937265654133656,False,c_index,True,PFI,2442
SIG_HALLMARK_IL2_STAT5_SIGNALING,raw,0.033335949867870515,0.01666180338401187,0.5170343988136566,0.5171453206298592,0.0032528989312451103,1000,-0.0002235507682778401,-0.023545083416664475,0.023097981880108795,False,c_index,True,PFI,2442
