site,n_patients,auroc
05,32,1.0
66,38,0.9990705239920994
85,50,0.9965324384787472
86,33,0.9951102684362838
63,24,0.9942481884057971
60,25,0.9919042437431991
77,44,0.9916161616161616
56,41,0.9901142533020014
97,22,0.9899428120686254
22,37,0.9892726243332638
78,31,0.9848425961912165
44,45,0.9825485106908911
55,91,0.9789366553727632
43,20,0.9553571428571429
49,28,0.9431144728633811
