signature,n,r_random_patient,r_random_patient_lo,r_random_patient_hi,r_preserved_site,r_preserved_site_lo,r_preserved_site_hi,delta_r
SIG_HALLMARK_ALLOGRAFT_REJECTION,944,0.491643341902074,0.4416930061389158,0.5385551234742225,0.46313784407603825,0.41149166310876084,0.511819238356862,0.02850549782603573
SIG_HALLMARK_ANGIOGENESIS,944,0.39217992924410616,0.33680169199346516,0.4448543106949352,0.3785643469844566,0.32254924609897045,0.43193720880217545,0.013615582259649539
SIG_HALLMARK_COAGULATION,944,0.4562555711801194,0.40421690903866453,0.5053500520164066,0.4240912331506587,0.370305368685186,0.4750429358013274,0.03216433802946067
SIG_HALLMARK_COMPLEMENT,944,0.3765885013427856,0.32048308926524915,0.4300609031506604,0.3288821406614053,0.2707577174523846,0.38461725350969767,0.04770636068138029
SIG_HALLMARK_E2F_TARGETS,944,0.5515530985183763,0.5055380516825513,0.5944394812514101,0.5059340496170049,0.456876618562574,0.5519232123781372,0.04561904890137136
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,944,0.44322184476243676,0.39045791417996994,0.4930834931132907,0.43723828306225276,0.3841492786620643,0.4874454771893031,0.0059835617001839925
SIG_HALLMARK_G2M_CHECKPOINT,944,0.5330367364523766,0.4857514544084768,0.577211370936054,0.48171413456696505,0.43116022727283443,0.5292530274807847,0.051322601885411545
SIG_HALLMARK_HYPOXIA,944,0.3486492467922352,0.29132383398834255,0.4034796433886578,0.29925031896028254,0.24002720664986862,0.35625419033334077,0.049398927831952655
SIG_HALLMARK_IL2_STAT5_SIGNALING,944,0.30942456192582624,0.2505653266816611,0.3660046548710915,0.24747313696314527,0.1866136280473964,0.3064405405937243,0.06195142496268097
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,944,0.4098445837909257,0.3553305005068859,0.4615801718086907,0.3705630446713406,0.314185518038103,0.42433614574797485,0.039281539119585096
SIG_HALLMARK_INFLAMMATORY_RESPONSE,944,0.4125491771963592,0.35817118923511243,0.4641377858348995,0.36978650091844456,0.31337426569369303,0.42359804243608473,0.042762676277914635
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,944,0.3984449211391889,0.3433682623824817,0.4507905554967198,0.3843276017996694,0.3285789763499893,0.43740748206981267,0.014117319339519485
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,944,0.4354033356151005,0.3822156352437235,0.4857156572301611,0.42285358360441044,0.3690033467955345,0.47387433003628354,0.01254975201069003
SIG_HALLMARK_MYC_TARGETS_V1,944,0.5029754836922092,0.45373084878370984,0.54915759257773,0.4590791091977754,0.4072006710955102,0.5080047839081989,0.04389637449443384
SIG_HALLMARK_TGF_BETA_SIGNALING,944,0.2748344884615727,0.21479496605410045,0.33280457736306696,0.1849199350844228,0.12255982530949061,0.2458256269866637,0.0899145533771499
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,944,0.3479760024148517,0.29062250350660074,0.40283797825976203,0.30314054121750567,0.24405491342267943,0.35998384321084775,0.04483546119734605
