signature,r_raw,r_axis,r_residual,n,r_residual_refit
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.46313784407603853,-0.12236702032461068,0.4417979924122599,944,0.45198612806676775
SIG_HALLMARK_ANGIOGENESIS,0.3785643469844563,-0.06685567863407309,0.40251523641502673,944,0.4085224868933107
SIG_HALLMARK_COAGULATION,0.4240912331506587,-0.02160822986147001,0.3368283794649287,944,0.34548568429871174
SIG_HALLMARK_COMPLEMENT,0.3288821406614052,-0.07855863411422016,0.3133198029021925,944,0.34260556107919093
SIG_HALLMARK_E2F_TARGETS,0.5059340496170046,0.05453870066677867,0.31832660837354304,944,0.4171418001818168
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.43723828306225243,-0.051075166450774236,0.45089584139822836,944,0.4536760847175141
SIG_HALLMARK_G2M_CHECKPOINT,0.4817141345669654,0.0598682408512992,0.3048691590932285,944,0.4260372253849527
SIG_HALLMARK_HYPOXIA,0.2992503189602824,0.0561111785107346,0.2625194766929258,944,0.3492666576509405
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.24747313696314543,-0.025266629802696002,0.25470162369124466,944,0.2741098057078719
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.3705630446713407,-0.10730806948457344,0.3718233007935311,944,0.39508443249484754
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.36978650091844484,-0.0988244537469829,0.3645113356629079,944,0.382527884344403
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.38432760179966935,-0.09226857356185053,0.34957566479918856,944,0.38183233507008063
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.42285358360441055,-0.10398836817019269,0.4057425053859579,944,0.42778335270363255
SIG_HALLMARK_MYC_TARGETS_V1,0.4590791091977752,0.05013008511290689,0.25209534280217855,944,0.32765756918847
SIG_HALLMARK_TGF_BETA_SIGNALING,0.18491993508442292,0.03451403529167604,0.18750246481537733,944,0.23207373315568158
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.3031405412175056,-0.06409628525246688,0.3198787583885719,944,0.3220067504138117
