M0_intercept,M1_purity,M2_+type,M3_+site,Mfull_+image,Image_only,signature,incremental_image_r2,n_x,r_image,r_purity,r_partial,n_y
0.0,0.13444774197111387,0.4523551326609604,0.5446049935258704,0.6036669389944289,0.4418403816470482,SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.06478663674719276,6851,0.66476426760719,-0.3652633669237677,0.6205627350036079,6870
0.0,0.28076027430377337,0.5019977554639922,0.5733429690595359,0.625966714572814,0.47511529191776347,SIG_HALLMARK_ALLOGRAFT_REJECTION,0.05772072167868936,6851,0.6892743963326119,-0.5295395577600074,0.5854390406764303,6870
0.0,0.10691057965315864,0.41314903948895276,0.5105072212268479,0.5612602036064059,0.3888123444701429,SIG_HALLMARK_ANGIOGENESIS,0.05565502856878213,6851,0.6237878388798748,-0.3253928069274253,0.5814220578567469,6870
0.0,0.14041988267722116,0.31818442893522114,0.3988217671566854,0.44787795780842077,0.3183207354259642,SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.05377180489276945,6851,0.5635676905784601,-0.37512449917431245,0.47996621205884643,6870
0.0,0.20783525416839588,0.41679502224970133,0.49326879114463906,0.5411173429634314,0.4025340615959593,SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.05246210264196294,6851,0.6338659003579666,-0.45617071242527946,0.5354024901026572,6870
0.0,0.0024730344260118775,0.5100366132129321,0.5906499915153707,0.6285266226170637,0.5007201794517759,SIG_HALLMARK_E2F_TARGETS,0.041527242644991524,6851,0.7079816146098789,-0.0483981687677757,0.7083956190360454,6870
0.0,0.24474493756099214,0.46786639674037556,0.5503539686806743,0.5847620282165771,0.4211661975615877,SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.0377106698334575,6851,0.6485684621461104,-0.494437820189089,0.5416921296142243,6870
0.0,0.007869240266459743,0.492712298713902,0.5783188697375363,0.612201004653047,0.4886757240347913,SIG_HALLMARK_G2M_CHECKPOINT,0.037137978610462086,6851,0.6993301609169205,-0.08740364099981694,0.6970066292119937,6870
0.0,0.2537382177478482,0.49841687722672134,0.5844280154821929,0.6166644133621881,0.4455501901904698,SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.035331566843712414,6851,0.667148136772985,-0.50334531374833,0.5658501787554548,6870
0.0,0.03419477459250664,0.3269247626866354,0.4340811963152945,0.46505174216738077,0.30041945593976915,SIG_HALLMARK_TGF_BETA_SIGNALING,0.0339148306738527,6851,0.5478267884448383,-0.18408296531714397,0.5293854106602394,6870
0.0,0.173634697542549,0.44049840389742956,0.5267281571855329,0.5575438041150411,0.39787731657953795,SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.03376101935163811,6851,0.6302221865278,-0.4163958989309739,0.551631710351615,6870
0.0,0.10933162219193526,0.43731994259207885,0.5229610724042217,0.5528896688271755,0.3416275543424273,SIG_HALLMARK_COAGULATION,0.032786122343906876,6851,0.584116190971254,-0.32936684199687616,0.5386937790506628,6870
0.0,0.06788992454712428,0.3610082070470483,0.4587604553575573,0.4886344389371844,0.32899649558789346,SIG_HALLMARK_HYPOXIA,0.032714838519696254,6851,0.5734083675067544,-0.2597444290379993,0.5384844774322747,6870
0.0,0.16532047578967435,0.39281745888665176,0.48485210083971797,0.514624585152399,0.35434380651573705,SIG_HALLMARK_IL2_STAT5_SIGNALING,0.03260795724274568,6851,0.5951088052676744,-0.40599364049806047,0.5128893048400042,6870
0.0,5.980958687457072e-05,0.3596790418767445,0.4500272948865337,0.4782456473500495,0.34033263899990795,SIG_HALLMARK_MYC_TARGETS_V1,0.030894947049124655,6851,0.584017494769817,-0.006442824763029237,0.5867250498124356,6870
0.0,0.17332090226685826,0.35895040341996143,0.46239129762161935,0.49040965683715887,0.31256446418779016,SIG_HALLMARK_COMPLEMENT,0.030677474428670637,6851,0.5589381291596364,-0.41586864357544756,0.4618722414621799,6870
