signature,observed,n_null,excess_z,excess_lo,excess_hi,beats_null,null_mean,null_sd,null_degenerate,percentile_SECONDARY_biased_on_tight_null
SIG_HALLMARK_E2F_TARGETS,0.4843046797587854,1000,0.3826584641373053,0.32057258491881696,0.44474434335579366,True,0.1448462643990834,0.020201178358481228,0.0,100.0
SIG_HALLMARK_G2M_CHECKPOINT,0.45652852776988395,1000,0.3467586872965396,0.2846732051020236,0.40884416949105556,True,0.14506748589252602,0.01989835653493843,1.0,100.0
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.4529428429343268,1000,0.3435655781514939,0.28148078026611,0.4056503760368778,True,0.14377157978520924,0.019371151919534143,1.0,100.0
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.45823393500317644,1000,0.33648332040346995,0.27439980073129233,0.3985668400756476,True,0.15721997885313926,0.01823898064169614,1.0,100.0
SIG_HALLMARK_MYC_TARGETS_V1,0.4340910716834694,1000,0.3206715544958698,0.25857898674145946,0.38276412225028017,True,0.14317132126586238,0.02478941058925075,0.0,100.0
SIG_HALLMARK_COAGULATION,0.4460663046990305,1000,0.3179199090122836,0.25582305486439944,0.3800167631601678,True,0.1603351476929763,0.02715017799230082,0.0,100.0
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.4212353793478548,1000,0.30224903202672,0.24016324928366556,0.3643348147697744,True,0.1458341787877696,0.02011071009341056,0.0,100.0
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.3826876568464209,1000,0.25378886630054265,0.19168914274017812,0.3158885898609072,True,0.14818294485884273,0.028815689000572464,0.0,100.0
SIG_HALLMARK_ANGIOGENESIS,0.4081212884740152,1000,0.25342213902092575,0.19127270215979095,0.3155715758820606,True,0.17757441311601854,0.047921574912560154,0.0,100.0
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.39186861800883266,1000,0.24871928293723047,0.1866163707414235,0.31082219513303744,True,0.16363985952391044,0.030349534932560134,0.0,100.0
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.38825810906387653,1000,0.24250151288810645,0.18041815945087797,0.30458486632533494,True,0.16564799836421804,0.018048328009877764,1.0,100.0
SIG_HALLMARK_COMPLEMENT,0.35018632239992187,1000,0.21203622592914806,0.14995174411592221,0.2741207077423739,True,0.15236561648468414,0.019056142543521563,1.0,100.0
SIG_HALLMARK_HYPOXIA,0.32356054145516155,1000,0.1855569908682203,0.12346951435945089,0.24764446737698972,True,0.1488750642959232,0.021348723489469285,0.0,100.0
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.3103439145078569,1000,0.1742377415630829,0.11215295588539384,0.23632252724077193,True,0.14558890744331823,0.019340437203084974,1.0,100.0
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.2716941091364985,1000,0.12480962805852117,0.06272633742981404,0.1868929186872283,True,0.15262819316614698,0.01808045929267266,1.0,100.0
SIG_HALLMARK_TGF_BETA_SIGNALING,0.21799191093664905,1000,0.06125656553283715,-0.0008690265228295177,0.12338215758850382,False,0.15865726292851895,0.040105354577250264,0.0,92.0
