signature,observed,n_null,excess_z,excess_lo,excess_hi,beats_null,null_mean,null_sd,null_degenerate,percentile_SECONDARY_biased_on_tight_null
SIG_HALLMARK_E2F_TARGETS,0.4965199782445141,1000,0.3786349699567519,0.3165520268584578,0.440717913055046,True,0.16447889759982273,0.017691889594579353,1.0,100.0
SIG_HALLMARK_G2M_CHECKPOINT,0.46604568675358876,1000,0.3383948613091596,0.27631205798710645,0.4004776646312127,True,0.16503442060721715,0.0175756722281971,1.0,100.0
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.46836465727348175,1000,0.3295804264392569,0.26749802028319875,0.39166283259531504,True,0.17647004444023887,0.017149169353307032,1.0,100.0
SIG_HALLMARK_MYC_TARGETS_V1,0.446674971935732,1000,0.31035040094017596,0.24826147222303552,0.3724393296573164,True,0.168476869588915,0.02221839232469794,0.0,100.0
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.44361031000696644,1000,0.30945767097456667,0.24737511107328528,0.3715402308758481,True,0.16566498815121153,0.0173643658755613,1.0,100.0
SIG_HALLMARK_COAGULATION,0.4418938399253022,1000,0.289741061094987,0.2276465853171596,0.3518355368728144,True,0.18263680473672222,0.0255608390066447,0.0,100.0
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.41511028982650755,1000,0.27469062927655374,0.2126076495135098,0.3367736090395977,True,0.16548715667713645,0.017707841997861587,1.0,100.0
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.3814889836459413,1000,0.23086646619077428,0.16877082795191325,0.29296210442963533,True,0.16916351117457068,0.026359725542005105,0.0,100.0
SIG_HALLMARK_ANGIOGENESIS,0.3983794100601127,1000,0.22310057096860586,0.16095700917167455,0.2852441327655372,True,0.19560022355250903,0.04564946885617065,0.0,100.0
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.38494728391553584,1000,0.22110079284498566,0.1590008979835412,0.28320068770643014,True,0.18252236401834135,0.028585697916768033,0.0,100.0
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.38527640722878864,1000,0.22091386079652817,0.1588301224433919,0.28299759914966444,True,0.18317053359195573,0.018244287025478784,1.0,100.0
SIG_HALLMARK_COMPLEMENT,0.35994163793510764,1000,0.20249860208459178,0.14041635863590285,0.2645808455332807,True,0.1725235257796929,0.017032523370554373,1.0,100.0
SIG_HALLMARK_HYPOXIA,0.33063052284093625,1000,0.1715782952521516,0.10949343839948633,0.23366315210481686,True,0.17021651318171832,0.01921981139681419,1.0,100.0
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.3196619781456004,1000,0.16406403367556782,0.10198201492894099,0.22614605242219465,True,0.16561638646815824,0.016871100908367312,1.0,100.0
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.29464335811352277,1000,0.13099061603892223,0.06890923184518587,0.19307200023265858,True,0.1709106297426602,0.016265066232678902,1.0,100.0
SIG_HALLMARK_TGF_BETA_SIGNALING,0.24890837389934162,1000,0.07333686618496268,0.01121713748742826,0.13545659488249712,True,0.17869051289550847,0.03751942851142968,0.0,95.80000000000001
