site,n_patients,auroc
55,91,0.02540484134856938
49,28,0.023432626325639413
85,50,0.015055928411633116
44,45,0.008107774069954278
56,41,0.00791399940577479
77,44,0.0056565656565656566
60,25,0.004744287268770404
05,32,0.004591557017543869
86,33,0.004390779363337
78,31,0.003851181853513745
97,22,0.003204496154604618
22,37,0.0031288179027980766
66,38,0.00200418264203556
43,20,0.0010822510822511178
63,24,0.0004528985507246489
